customer_id,age,gender,location,income_level,tenure,call_duration,num_calls,complaints,satisfaction_score,support_tickets,purchase_history,avg_purchase_value,total_spent,last_purchase_date,preferred_category,discount_usage,website_visits,click_through_rate,email_opens,ad_clicks,upsell_accepted
CUST1038,52,Male,Danielburgh,Low,60,4.93,3,1,10,2,1,832,14616,2024-04-27,Grocery,14,72,0.56,4,10,0
CUST1039,20,Female,Port Heatherville,Low,68,4.71,5,3,2,2,2,1561,47182,2025-09-06,Grocery,1,82,0.94,15,4,0
CUST1040,44,Male,Taylorberg,Low,52,5.67,5,2,6,5,5,267,518,2023-11-24,Grocery,11,28,0.8,38,19,0
CUST1041,35,Male,Beckhaven,Low,81,4.17,2,2,10,1,17,2725,4781,2024-12-27,Fashion,11,48,0.74,10,26,1
CUST1042,53,Male,Lake Barbara,Low,91,6.6,2,0,3,0,39,4360,517,2025-06-14,Fashion,6,29,0.57,13,1,1
CUST1043,64,Male,Port Jacob,High,59,2.64,4,0,5,4,40,209,38141,2023-11-03,Services,7,7,0.8,23,7,0
CUST1044,54,Male,South Tanya,Medium,26,2.05,4,3,7,4,36,3627,6364,2025-09-10,Home,14,66,0.27,34,3,0
CUST1045,52,Male,Bakerland,Medium,18,6.6,2,0,6,3,19,925,18834,2024-12-24,Services,0,80,0.34,41,12,1
CUST1046,33,Male,Medinaburgh,Medium,46,7.69,2,1,9,2,30,3174,1247,2024-10-02,Fashion,6,87,0.72,7,13,1
CUST1047,19,Male,East Scott,Low,95,5.2,2,2,6,4,30,606,13911,2025-06-29,Home,17,36,0.1,13,19,0
CUST1048,49,Male,Hunterfurt,Medium,12,7.11,2,1,10,2,10,3012,27087,2024-05-21,Fashion,8,3,0.12,44,12,1
CUST1049,48,Male,North John,Medium,64,3.15,5,0,6,1,20,2404,49006,2024-08-08,Fashion,6,12,0.23,11,3,0
CUST1050,46,Female,Lake Jennifer,High,108,3.51,1,3,9,2,10,4751,7774,2025-05-20,Fashion,15,53,0.48,47,6,0
CUST1051,59,Female,Port Barbaraton,High,48,2.96,5,1,2,1,26,3611,13208,2023-11-27,Home,8,52,0.86,23,23,0
CUST1052,42,Male,Williamsonfort,Low,36,1.68,2,1,10,4,4,2596,6040,2025-08-01,Grocery,2,35,0.42,27,5,1
CUST1053,40,Male,Sharpbury,Low,89,6.76,3,3,2,0,13,4071,24645,2025-03-15,Home,18,51,0.14,31,16,0
CUST1054,39,Male,New Victormouth,Medium,74,3.68,7,1,2,0,39,4755,13311,2025-08-31,Electronics,2,78,0.07,21,17,0
CUST1055,59,Male,East Roy,Low,58,5.16,3,1,1,1,6,1374,32915,2025-05-20,Services,16,14,0.13,4,28,1
CUST1056,66,Other,Cannonside,High,26,4.49,5,0,7,3,6,2994,3198,2025-07-30,Home,10,26,0.89,8,28,0
CUST1057,59,Male,Amandafort,Medium,73,6.48,4,1,4,1,48,2032,47410,2023-11-28,Electronics,5,27,0.92,13,0,1
CUST1058,67,Male,Porterland,High,109,6.08,2,1,10,1,42,4911,2445,2025-05-15,Services,12,12,0.7,13,20,0
CUST1059,46,Female,West Adam,Medium,37,-0.89,7,1,9,1,15,4864,526,2024-06-19,Fashion,16,26,0.51,43,5,0
CUST1060,59,Male,Currychester,Medium,93,4.44,2,1,10,1,9,848,31345,2023-10-06,Grocery,2,48,0.82,3,3,1
CUST1061,66,Male,Edwardborough,Medium,32,5.21,2,3,7,0,48,427,8544,2023-12-23,Electronics,15,8,0.91,3,5,0
CUST1062,68,Female,Robertside,High,52,1.21,2,2,9,1,4,949,31820,2024-12-29,Electronics,8,63,0.48,48,24,1
CUST1063,29,Female,West Amandaville,High,81,3.92,2,2,7,0,24,3488,3266,2025-05-22,Electronics,7,41,0.54,39,4,0
CUST1064,47,Male,North Daniel,Low,54,6.18,3,0,3,2,46,3148,23092,2024-07-11,Electronics,0,5,0.69,20,11,1
CUST1065,25,Female,South Herbert,Medium,115,4.46,3,1,10,2,6,4819,17938,2024-04-10,Home,1,41,0.32,11,5,1
CUST1066,39,Female,Cisnerosberg,Low,11,5.18,3,4,1,1,33,3121,46571,2024-10-21,Electronics,8,72,0.52,28,5,0
CUST1067,64,Male,Collinshaven,High,39,7.49,5,1,5,4,26,4089,24946,2023-11-28,Home,18,51,0.01,19,16,1
CUST1068,31,Male,New Craigville,Medium,112,2.19,2,0,2,2,16,1766,5144,2023-11-25,Home,19,40,0.6,4,17,1
CUST1069,53,Female,Kellyside,High,109,4.85,2,2,4,4,23,3427,1125,2025-09-02,Home,14,79,0.13,42,5,0
CUST1070,51,Male,Johnbury,High,65,4.84,2,1,4,3,26,572,30717,2024-05-13,Grocery,19,48,0.24,33,11,1
CUST1071,65,Male,Piercestad,Medium,62,6.2,3,0,3,2,3,2370,36075,2025-05-19,Home,13,26,0.54,1,6,0
CUST1072,60,Male,South Mistyshire,Low,55,4.11,3,0,2,3,14,2862,5192,2025-04-23,Fashion,3,86,0.82,3,16,0
CUST1073,49,Female,Mooreshire,Medium,89,6.13,1,2,5,5,25,3571,45087,2024-05-20,Services,8,16,0.96,29,28,1
CUST1074,28,Male,New Roger,Low,86,9.28,1,2,1,0,36,4196,760,2023-11-14,Fashion,5,34,0.51,28,22,0
CUST1075,23,Female,Kimberlyshire,High,112,4.82,2,2,10,2,11,2482,20912,2025-09-04,Grocery,17,42,0.32,26,11,0
CUST1076,49,Female,Freyville,Medium,75,3.84,1,0,6,1,3,810,24891,2025-02-07,Grocery,10,68,0.31,20,13,1
CUST1077,35,Male,Taylorborough,High,118,5.16,5,0,10,2,40,4979,49900,2024-10-05,Grocery,3,32,0.81,13,2,1
CUST1078,34,Other,South David,Medium,79,6.07,5,1,4,0,39,1399,1164,2025-01-25,Services,3,87,0.5,17,18,0
CUST1079,52,Male,New Seth,High,39,3.7,7,1,4,3,1,2117,38855,2024-01-28,Fashion,2,96,0.8,43,0,1
CUST1080,36,Other,South Michael,Medium,87,6.19,2,0,6,1,13,2550,34868,2025-09-08,Grocery,12,92,0.98,4,0,1
CUST1081,38,Male,Lake Rogerton,Medium,95,4.89,0,2,5,3,9,4447,41341,2024-05-23,Electronics,13,91,0.46,14,16,1
CUST1082,66,Male,Port Hannahville,Medium,10,2.45,2,2,2,2,39,2636,40060,2024-05-08,Services,12,44,0.43,45,9,1
CUST1083,32,Male,Crystalchester,High,74,2.66,2,2,1,1,39,685,18254,2024-07-24,Grocery,6,4,0.01,42,16,0
CUST1084,63,Female,New Andre,Medium,55,4.04,5,0,10,1,41,4049,19800,2024-03-19,Fashion,16,93,0.92,49,24,1
CUST1085,26,Female,Patelshire,Low,116,-0.25,3,2,1,1,34,1779,18085,2024-07-05,Electronics,6,45,0.97,13,7,1
CUST1086,62,Female,South Robert,Medium,52,5.49,1,3,9,2,7,2236,31784,2024-04-14,Services,7,45,0.64,16,25,0
CUST1087,64,Male,New Elizabethfort,Medium,75,4.88,2,4,3,0,30,1070,11282,2024-03-14,Services,17,54,0.0,47,13,0
CUST1088,20,Male,Johnhaven,High,55,3.99,4,2,4,4,12,4734,19360,2024-05-01,Home,14,84,0.66,3,12,0
CUST1089,24,Female,New Christinechester,Medium,99,6.75,2,1,6,1,13,4551,48227,2025-09-01,Services,17,4,0.7,4,1,1
CUST1090,48,Female,North Kevinberg,Medium,58,5.07,1,1,2,1,0,3836,8652,2024-11-07,Home,16,49,0.11,32,18,0
CUST1091,56,Female,Kellyhaven,Medium,46,8.42,7,0,7,3,49,1807,37674,2025-03-29,Fashion,0,67,0.45,42,9,0
CUST1092,53,Female,Mccarthytown,Low,25,4.13,3,1,2,3,9,3915,3827,2025-02-20,Electronics,7,11,0.47,8,25,0
CUST1093,22,Male,Lake Michaelville,Medium,92,4.93,1,2,8,2,7,554,34753,2024-01-26,Fashion,19,27,0.44,21,12,0
CUST1094,40,Other,Susantown,Low,7,4.71,5,2,5,0,16,1944,45134,2024-03-31,Home,15,66,0.38,9,6,1
CUST1095,18,Male,Port Donald,Medium,41,5.84,1,1,9,1,6,4601,37370,2024-12-02,Services,4,62,0.22,3,23,1
CUST1096,28,Female,New Amy,Medium,60,6.92,7,0,10,3,18,3277,33246,2024-08-17,Grocery,14,33,0.97,5,19,0
CUST1097,59,Female,Turnerburgh,Medium,41,5.38,2,1,5,3,9,3732,20179,2024-03-08,Electronics,10,98,0.22,12,11,1
CUST1098,66,Male,Troymouth,Medium,12,0.56,2,0,8,0,25,4362,46913,2024-07-15,Fashion,10,18,0.66,8,12,1
CUST1099,66,Male,Patelfort,Medium,47,8.67,3,1,7,2,15,167,3021,2024-03-05,Grocery,1,35,0.47,17,26,0
CUST1100,53,Female,Simmonschester,Low,18,5.57,5,0,8,4,29,2354,18713,2024-12-23,Fashion,16,97,0.73,12,25,1
CUST1101,65,Female,Davidberg,Medium,97,2.25,3,1,7,2,30,1229,10222,2023-11-04,Grocery,14,52,0.24,46,25,0
CUST1102,42,Female,East Veronicaview,Low,39,5.0,6,0,1,2,18,2422,17495,2024-12-03,Services,10,7,0.46,4,18,0
CUST1103,55,Male,Martinezmouth,Medium,114,3.69,2,0,5,2,21,919,17299,2024-10-28,Electronics,17,68,0.34,28,24,0
CUST1104,34,Male,Kennethmouth,Low,62,4.28,2,1,5,0,47,609,37865,2024-12-29,Services,13,74,0.81,22,26,1
CUST1105,50,Male,Port Danielle,Low,7,7.52,4,0,6,0,45,4082,25089,2024-10-03,Fashion,17,4,0.83,33,22,1
CUST1106,36,Female,West Christopherland,High,101,5.87,7,1,5,1,27,4527,16285,2025-02-01,Home,8,25,0.91,21,17,0
CUST1107,29,Female,Victoriamouth,Medium,40,5.89,3,0,1,3,28,705,21528,2023-11-19,Grocery,5,23,0.86,0,4,0
CUST1108,30,Female,New Micheal,Low,100,1.84,2,1,5,0,17,4228,48857,2025-05-09,Electronics,4,92,0.33,28,26,1
CUST1109,28,Female,Clarkbury,Medium,98,4.38,6,1,10,0,9,4278,33884,2024-05-21,Fashion,5,25,0.25,47,25,1
CUST1110,46,Female,Lake Rebeccastad,Medium,35,4.88,5,1,6,5,41,4910,36596,2024-08-08,Fashion,11,21,0.59,26,12,0
CUST1111,47,Male,East Kristin,Medium,115,4.47,1,1,4,2,3,3872,4460,2025-04-27,Grocery,16,27,0.68,8,3,1
CUST1112,67,Male,South Johnathanstad,Medium,5,4.78,1,2,2,2,6,1640,39735,2025-06-11,Services,19,65,0.01,16,8,0
CUST1113,27,Male,New Stephenstad,High,64,2.85,5,1,9,2,23,1732,1735,2025-03-03,Grocery,3,2,0.7,41,17,0
CUST1114,61,Male,East Jamesshire,Low,20,5.81,4,4,9,1,23,2862,5117,2025-01-09,Services,13,53,0.36,10,24,0
CUST1115,41,Male,Port Peter,Low,16,4.92,5,0,1,2,7,3520,38806,2025-07-30,Home,11,58,0.47,22,17,0
CUST1116,44,Male,South Gregoryberg,Low,57,6.05,3,0,3,1,20,3183,26001,2025-07-22,Home,3,97,0.9,27,22,0
CUST1117,34,Female,New Holly,Low,42,4.81,1,2,10,1,3,446,42551,2023-09-22,Electronics,10,51,0.13,17,15,0
CUST1118,42,Female,Michaeltown,Low,103,7.24,5,0,6,4,11,4260,37455,2025-01-08,Home,19,96,0.7,7,8,0
CUST1119,55,Female,West Christine,Medium,1,5.71,3,1,9,1,39,1615,46169,2023-12-14,Electronics,18,90,0.64,13,22,0
CUST1120,68,Male,Port Mike,High,40,7.21,3,0,2,2,34,2814,43976,2024-05-14,Fashion,11,4,0.26,12,27,1
CUST1121,53,Male,North Meganland,Medium,12,1.4,3,2,9,2,2,3035,20278,2024-12-18,Services,13,35,0.18,45,16,0
CUST1122,47,Female,Bartonton,Medium,7,5.38,2,0,2,2,47,3186,42593,2025-09-10,Home,1,30,0.35,45,21,0
CUST1123,37,Female,Lake Deanna,Low,11,3.66,2,1,7,4,33,3379,14251,2024-03-12,Fashion,17,39,0.75,42,10,1
CUST1124,30,Female,South Bridgetside,Low,119,3.8,1,0,10,3,17,3924,21351,2025-04-17,Services,10,38,0.62,18,18,1
CUST1125,41,Male,Salazarburgh,Medium,29,5.12,4,0,10,1,34,1420,30040,2025-03-03,Grocery,15,2,0.84,10,6,0
CUST1126,64,Male,Davidside,Low,110,4.34,2,0,4,1,3,3166,37910,2024-03-09,Home,9,36,0.43,44,2,0
CUST1127,58,Female,Lake Molly,Low,109,7.5,5,1,4,1,22,4085,44973,2024-09-17,Fashion,14,63,0.71,45,18,1
CUST1128,66,Female,East Tonyaside,Medium,116,8.7,6,2,5,2,15,1962,14903,2025-08-05,Grocery,5,74,1.0,45,7,1
CUST1129,56,Female,East Madisonland,High,27,4.98,0,1,9,2,26,1279,43552,2023-12-15,Services,14,80,0.84,5,19,1
CUST1130,36,Male,North Michelleville,Medium,102,5.87,4,3,6,1,13,257,32338,2024-09-08,Home,5,47,0.89,25,7,1
CUST1131,20,Male,North Angelaside,High,36,1.7,5,3,2,0,2,2163,45765,2024-06-25,Fashion,1,48,0.7,4,10,0
CUST1132,23,Male,Jonesfort,Medium,93,4.71,2,0,9,1,46,1029,5393,2024-02-24,Electronics,7,95,0.27,47,10,1
CUST1133,60,Male,Port Thomasville,Low,11,3.76,2,1,3,4,20,339,13849,2024-02-26,Fashion,17,56,0.73,26,3,0
CUST1134,45,Female,Joeberg,Medium,110,3.1,3,0,8,2,13,4608,3992,2025-07-18,Home,18,74,0.48,42,10,0
CUST1135,45,Female,North Ashley,Medium,81,4.47,3,4,2,0,15,1083,11366,2024-05-08,Electronics,0,17,0.81,17,14,0
CUST1136,40,Female,Port Jasonton,Medium,67,3.29,3,0,1,4,10,3804,40828,2023-10-17,Grocery,16,2,0.72,16,16,0
CUST1137,37,Female,Burtonmouth,Medium,64,5.23,1,1,7,3,9,360,43601,2024-02-07,Electronics,1,23,0.73,42,19,1
CUST1138,20,Other,South Staceyfort,Medium,11,1.68,2,1,10,3,11,1657,20764,2024-11-28,Services,5,91,0.66,45,4,1
CUST1139,41,Male,South Kelly,Medium,59,4.05,1,1,9,2,25,520,27079,2024-08-24,Services,9,15,0.31,17,28,0
CUST1140,52,Male,Youngton,Medium,115,2.69,3,0,8,4,47,3492,25677,2025-08-08,Electronics,19,15,0.13,11,24,0
CUST1141,56,Female,Juliashire,Medium,70,2.24,4,0,1,2,20,2859,41226,2023-11-12,Electronics,9,91,0.96,6,2,1
CUST1142,21,Female,Abigailton,Low,47,5.56,2,0,9,3,47,3733,9571,2024-12-15,Grocery,12,13,0.3,40,11,0
CUST1143,48,Male,Martinezburgh,Medium,72,3.38,5,0,5,5,49,2331,46807,2023-11-12,Home,0,80,0.11,5,8,1
CUST1144,46,Male,Colemanfurt,High,38,6.32,1,2,8,2,24,2022,39401,2025-05-30,Grocery,10,18,0.83,4,20,1
CUST1145,65,Other,West Michael,Medium,36,6.15,4,1,9,1,14,780,33643,2025-05-03,Fashion,5,98,0.74,38,17,1
CUST1146,55,Female,Matthewville,Low,10,8.16,3,1,1,3,23,2818,31373,2024-05-10,Fashion,10,76,0.89,5,7,0
CUST1147,63,Female,Port Kathleenmouth,Medium,24,6.94,5,1,9,3,27,2848,1331,2024-07-19,Services,2,41,0.22,48,21,0
CUST1148,37,Female,Adkinsshire,Medium,86,5.27,3,0,5,2,39,1840,7160,2025-07-25,Grocery,15,84,0.68,43,6,0
CUST1149,35,Male,West Pamelatown,Medium,30,1.57,5,2,6,3,48,3784,28058,2023-11-02,Grocery,10,96,0.67,13,28,0
CUST1150,41,Female,Lake Jacqueline,High,18,3.84,3,0,8,4,11,2456,3147,2025-03-01,Services,9,24,0.86,31,17,0
CUST1151,59,Male,Johntown,High,13,5.34,2,0,4,1,47,3325,37682,2025-07-13,Home,18,18,0.71,5,25,0
CUST1152,24,Male,Jennifershire,Medium,30,7.54,4,0,9,1,49,1646,30731,2024-01-08,Electronics,11,84,0.38,39,21,1
CUST1153,27,Female,Hollyborough,Medium,5,7.33,1,0,5,4,10,138,10732,2023-09-30,Grocery,1,4,0.42,25,24,1
CUST1154,62,Male,Rebeccaville,Medium,44,5.22,3,0,4,1,16,3503,27237,2025-07-05,Services,18,58,0.51,8,6,1
CUST1155,18,Other,Houstonstad,High,119,3.84,1,1,4,1,5,4393,11425,2024-09-19,Electronics,12,52,0.14,2,10,1
CUST1156,37,Female,Port Victoria,Medium,46,3.53,3,0,3,3,42,718,8146,2024-07-18,Fashion,0,88,0.21,16,8,0
CUST1157,53,Female,Simmonsfort,Medium,24,4.61,0,1,2,4,13,1127,40146,2024-06-05,Fashion,18,13,0.16,33,0,1
CUST1158,21,Male,Shepardborough,Medium,34,2.37,2,0,10,1,26,768,36952,2025-05-22,Electronics,14,75,0.47,42,21,0
CUST1159,44,Male,Emilymouth,High,57,3.59,2,0,8,1,30,2112,46671,2025-06-21,Electronics,19,11,0.92,28,20,1
CUST1160,43,Male,South Jessicatown,Medium,4,4.61,5,0,9,2,45,2599,15033,2024-01-16,Home,7,73,0.91,35,3,1
CUST1161,19,Female,Powersberg,High,23,3.96,4,2,4,1,6,1894,40264,2024-03-28,Home,12,45,0.17,16,9,0
CUST1162,51,Female,Benjaminburgh,Low,70,6.48,4,2,2,3,31,2609,26215,2025-04-07,Services,11,26,0.6,27,21,0
CUST1163,62,Male,Smithfurt,Medium,118,6.59,2,0,1,3,6,845,35379,2024-10-27,Services,2,57,0.34,48,0,0
CUST1164,49,Male,Wangbury,Low,91,5.39,2,0,6,6,8,4605,8969,2024-09-08,Home,8,76,0.83,42,6,1
CUST1165,36,Female,North Steven,High,99,5.39,2,1,6,2,45,2989,41625,2024-02-21,Electronics,15,64,0.04,49,14,1
CUST1166,62,Female,Jimenezview,Low,32,4.41,3,2,2,1,17,4581,42791,2025-05-31,Services,16,18,0.77,41,5,1
CUST1167,24,Female,West Christyfurt,Low,109,5.68,3,1,4,1,4,1921,23134,2024-01-09,Grocery,15,15,0.48,35,28,0
CUST1168,38,Male,Melissaview,Low,100,6.83,2,1,8,3,20,1129,7306,2024-01-14,Electronics,3,84,0.16,40,5,0
CUST1169,52,Male,Williamsbury,Low,111,4.61,2,0,4,2,11,3804,36703,2025-04-08,Home,11,82,0.37,29,2,1
CUST1170,49,Female,South Jeremy,High,101,5.21,2,0,6,2,0,3012,41482,2025-02-17,Fashion,9,17,0.91,31,0,0
CUST1171,33,Male,North Andrewfort,High,8,7.37,3,1,6,1,17,4958,32482,2024-12-09,Grocery,17,24,0.12,8,11,1
CUST1172,67,Male,Knappfurt,Medium,94,4.41,5,1,1,1,48,144,24945,2025-04-07,Home,13,13,0.77,21,15,0
CUST1173,63,Female,West Michael,Medium,36,2.85,0,1,4,3,47,1108,26775,2024-01-12,Grocery,4,33,0.72,2,25,0
CUST1174,32,Male,Lake Adam,Low,54,3.51,3,2,9,0,13,3590,42998,2025-02-03,Home,16,71,0.82,36,15,1
CUST1175,24,Male,Maddoxport,Medium,80,2.98,3,1,4,3,38,2082,12451,2024-05-02,Home,7,97,0.88,29,26,0
CUST1176,63,Other,West Dawn,Medium,49,2.81,3,2,7,0,13,2046,15067,2025-02-19,Services,16,30,0.05,44,7,0
CUST1177,58,Female,Nixonview,Low,18,3.69,2,2,2,1,16,3893,24418,2023-09-24,Grocery,13,22,0.03,18,7,0
CUST1178,58,Male,Williamsshire,Low,34,5.05,1,0,9,1,29,3439,25499,2024-04-28,Electronics,3,3,0.36,32,11,1
CUST1179,45,Male,East Tiffanyside,Medium,36,2.38,1,1,9,4,34,1944,2087,2024-09-06,Fashion,10,94,0.09,47,9,0
CUST1180,19,Female,South Kimberlystad,Medium,117,0.74,4,0,5,3,6,336,15909,2025-03-27,Services,13,95,0.42,47,2,0
CUST1181,67,Female,New Cynthiabury,Medium,81,5.75,2,0,3,2,4,1693,18357,2024-06-30,Services,2,74,0.29,14,2,0
CUST1182,56,Male,Walkerburgh,High,49,2.07,5,1,6,2,38,1661,31493,2024-07-09,Electronics,14,2,0.47,15,8,0
CUST1183,49,Male,South Sarahburgh,Medium,50,4.46,3,0,9,3,5,191,42659,2025-05-07,Home,8,2,0.89,14,22,1
CUST1184,40,Female,East Matthew,Medium,65,6.89,0,1,7,5,25,4251,43422,2024-11-30,Electronics,18,0,0.23,46,18,1
CUST1185,54,Female,Gardnerchester,Medium,70,7.09,6,0,7,1,4,3612,14347,2025-06-05,Electronics,9,56,0.09,47,18,0
CUST1186,54,Other,Bakerville,Medium,110,5.89,1,1,10,2,2,298,8704,2023-11-16,Grocery,10,16,0.57,22,22,1
CUST1187,50,Male,Starkfort,Low,100,4.86,2,0,4,0,44,1932,13884,2024-09-13,Grocery,12,12,0.01,46,12,0
CUST1188,20,Female,Snyderchester,High,115,6.19,5,2,2,2,9,1430,11827,2025-05-07,Grocery,1,27,0.58,1,21,0
CUST1189,25,Female,Port Lisa,Medium,68,5.78,1,5,2,1,24,3865,48100,2025-07-11,Grocery,3,89,0.59,44,16,1
CUST1190,64,Male,Jillchester,Medium,26,3.51,3,0,10,1,48,3141,2413,2025-02-27,Electronics,8,28,0.22,18,16,0
CUST1191,42,Female,Amyland,Medium,7,2.91,4,1,3,3,20,743,23489,2025-06-02,Services,18,78,0.56,18,7,0
CUST1192,44,Male,Mcguirefort,Low,28,4.27,3,2,10,5,17,1351,41432,2024-05-13,Electronics,10,59,0.22,28,24,0
CUST1193,66,Male,Lake Zachary,Medium,28,2.28,2,0,4,1,40,2035,42854,2025-04-27,Grocery,14,2,0.56,44,20,1
CUST1194,35,Female,Rodriguezchester,High,73,6.68,1,0,2,2,32,2104,33141,2024-09-29,Grocery,8,49,0.23,45,5,0
CUST1195,35,Female,Rebeccaberg,Low,65,5.53,5,1,7,1,13,3439,36448,2024-07-19,Home,14,31,0.82,37,4,1
CUST1196,54,Female,Michellebury,High,9,6.5,1,1,2,6,14,4592,31520,2024-11-22,Electronics,16,81,0.73,29,17,1
CUST1197,38,Male,Karinabury,High,35,1.42,1,0,9,1,20,2545,24982,2024-03-29,Fashion,2,5,0.61,37,5,1
CUST1198,57,Female,Michaelland,High,116,3.31,3,3,2,1,39,2191,6944,2025-03-07,Home,16,90,0.58,12,27,0
CUST1199,22,Male,Thomasfurt,Low,55,6.23,5,2,4,1,22,2790,24712,2025-04-04,Home,5,32,0.4,46,6,1
CUST1200,23,Male,Lake Michelleville,Low,33,5.5,1,1,1,0,36,4753,45900,2023-12-23,Services,3,22,0.27,23,3,1
